"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Quantidade_Acionistas_PF","Quantidade_Acionistas_PJ","Quantidade_Acionistas_Investidores_Institucionais","Quantidade_Acoes_Ordinarias_Circulacao","Percentual_Acoes_Ordinarias_Circulacao","Quantidade_Acoes_Preferenciais_Circulacao","Percentual_Acoes_Preferenciais_Circulacao","Quantidade_Total_Acoes_Circulacao","Percentual_Total_Acoes_Circulacao","Data_Ultima_Assembleia"
"06.047.087/0001-39","2021-01-01",9,110426,54151,2031,0,929901433,46.255,0,0,929901433,46.255,"2021-04-30"
"06.057.223/0001-71","2021-01-01",10,110737,25453,278,1142,794310097,58.982271,0,0,794310097,58.982271,"2021-08-11"
"06.164.253/0001-87","2021-01-01",13,110782,95452,324,439,0,0,167095214,53.227068,167095214,5.258516,"2021-04-22"
"06.272.793/0001-84","2021-01-01",2,108235,1466,27,18,56198212,34.84,1087583,37.961,57285795,34.89,"2018-04-25"
"06.347.409/0001-65","2021-01-01",1,105629,0,2,0,0,0,0,0,0,0,"2021-04-30"
"06.626.253/0001-51","2021-01-01",5,110324,29365,97,71,157843200,35.568,0,0,157843200,35.568,"2021-04-23"
"06.948.969/0001-75","2021-01-01",3,106436,0,1,0,0,0,0,0,0,0,"2021-07-01"
"06.977.745/0001-91","2021-01-01",2,110910,69071,369,817,834170584,95.537,0,0,834170584,95.537,"2021-04-30"
"06.977.751/0001-49","2021-01-01",6,110593,13257,90,368,187579163,39.560335,0,0,187579163,39.560335,"2021-04-26"
"06.981.176/0001-58","2021-01-01",4,110609,0,1,0,0,0,0,0,0,0,"2020-07-31"
"06.981.180/0001-16","2021-01-01",4,110610,0,1,0,0,0,0,0,0,0,"2019-08-07"
"06.981.381/0001-13","2021-03-31",5,108105,0,89,1,0,0,0,0,0,0,"2019-07-25"
"07.040.108/0001-57","2021-01-01",6,110998,4,5,0,21340663,11.626,18169,0.01,21358832,11.636,"2020-10-20"
"07.043.628/0001-13","2021-01-01",1,105295,0,2,0,0,0,0,0,0,0,"2021-04-27"
"07.047.251/0001-70","2021-01-01",4,110872,2138,195,121,1003692,2.08807,19198932,64.453281,20202624,25.948939,"2021-04-26"
"07.119.838/0001-48","2021-01-01",1,105330,0,2,0,0,0,0,0,0,0,"2020-04-30"
"07.206.816/0001-15","2021-01-01",6,110919,101893,286,447,83169222,24.533694,0,0,83169222,24.533694,"2021-04-30"
"07.237.373/0001-20","2021-01-01",11,110999,8800,1108,14,679722,0.78,0,0,679722,0.78,"2021-06-30"
"07.253.321/0001-47","2021-01-01",1,105092,5,1,0,155000,70,66000,30,221000,100,"2020-07-30"
"07.275.159/0001-68","2021-01-01",1,104187,177,365,0,239823,48.31,1672246,95.37,1912069,84.33,"2011-04-29"
"07.282.377/0001-20","2021-01-01",3,110911,21,10,0,731,0.75,0,0,731,0.75,"2021-04-29"
"07.334.600/0001-35","2021-01-01",1,104809,8,2,0,0,0,0,0,0,0,"2020-04-30"
"07.401.436/0001-31","2021-01-01",3,108232,0,2,0,1525558419,100,0,0,1525558419,100,"2012-08-20"
"07.415.333/0001-20","2021-01-01",9,110802,24051,233,11,225252808,27.67,0,0,225252808,27.67,"2021-04-29"
"07.437.016/0001-05","2021-01-01",1,105320,3,3,0,0,0,0,0,0,0,"2021-04-28"
"07.526.557/0001-00","2021-01-01",6,110765,333068,2334,800,4359158910,27.69,0,0,4359158910,27.69,"2021-11-21"
"07.587.384/0001-30","2021-01-01",1,104687,1,1,0,0,0,0,0,0,0,"2015-04-30"
"07.594.978/0001-78","2021-01-01",11,111017,12,14,0,243804766,42.68,0,0,243804766,42.68,"2021-06-22"
"07.628.528/0001-59","2021-06-30",13,110463,16997,101,180,51771532,63.056,0,0,51771532,63.056,"2021-01-22"
"07.636.657/0001-99","2021-01-01",1,108101,4,1,0,0,0,0,0,0,0,"2021-08-09"
"07.659.538/0001-51","2021-01-01",3,108843,3,1,0,334424444,100,0,0,334424444,100,"2007-04-27"
"07.689.002/0001-89","2021-01-01",4,109928,111848,14542,455,734558205,99.202,0,0,734558205,99.202,"2021-05-17"
"07.704.246/0001-93","2021-01-01",2,110987,8,1,0,0,0,0,0,0,0,"2021-11-30"
"07.718.269/0001-57","2021-01-01",3,106845,4912,33,62,23408641,46.821594,0,0,23408641,46.821594,"2021-04-30"
"07.802.794/0001-56","2021-01-01",3,108724,0,2,0,0,0,0,0,0,0,"2021-03-05"
"07.816.890/0001-53","2021-01-01",6,109843,46068,1534,0,272718548,48.24,0,0,272718548,45.38,"2021-06-30"
"07.820.907/0001-46","2021-01-01",2,109029,366,4,24,2380679,98.287772,0,0,2380679,98.287727,"2021-04-30"
"07.857.093/0001-14","2021-01-01",5,110402,46,32,1,30132555,42.59,0,0,30132555,42.59,"2020-10-30"
"07.857.850/0001-50","2021-01-01",8,109480,2337,8,79,0,0,63519148,84.330664,63519148,57.878421,"2021-04-30"
"07.859.510/0001-68","2021-01-01",2,106401,0,3,0,0,0,0,0,0,0,"2020-05-24"
"07.859.971/0001-30","2021-01-01",3,108886,392926,445,1175,218568274,37.000689,437136468,98.72484,655704742,63.445266,"2021-04-29"
"07.882.930/0001-65","2021-01-01",2,107378,21152,156,182,54034454,51.085,0,0,54034454,51.085,"2021-04-30"
"07.976.147/0001-60","2021-01-01",6,109855,0,2,0,0,0,0,0,0,0,"2020-03-31"
"08.065.557/0001-12","2021-01-01",9,111036,51324,207,180,51422618,69.849437,0,0,51422618,69.849437,"2021-05-05"
"08.070.508/0001-78","2021-03-31",5,108095,0,3,0,0,0,0,0,0,0,"2021-06-30"
"08.078.847/0001-09","2021-01-01",1,105250,24395,199,56,114874308,77.852052,0,0,114874308,77.852052,"2021-05-21"
"08.159.965/0001-33","2021-01-01",6,108791,0,1,5,427804422,100,0,0,427804422,100,"2021-07-12"
"08.170.849/0001-15","2021-01-01",9,110684,5874,278,0,30435000,34.985965,0,0,30435000,34.985965,"2021-03-31"
"08.294.224/0001-65","2021-01-01",5,108903,121364,901,118,305915142,44.57946,0,0,305915142,44.57946,"2021-03-29"
"08.312.229/0001-73","2021-01-01",2,106630,79106,830,646,101618236,44.766,0,0,101618236,44.766,"2021-04-29"
"08.324.196/0001-81","2021-01-01",7,110786,6015,412,9,8895333,6.86,2777379,7.25,11672712,6.95,"2021-04-09"
"08.343.492/0001-20","2021-01-01",6,108378,54182,997,853,294643879,61.018661,0,0,294643879,61.018661,"2021-04-23"
"08.364.948/0001-38","2021-01-01",11,110781,80221,807,0,140050337,23.46,280479115,99.41,420529452,47.84,"2021-04-27"
"08.402.943/0001-52","2021-01-01",4,110167,17911,487,0,81934660,16.413193,0,0,81934660,16.413193,"2021-04-28"
"08.424.178/0001-71","2021-01-01",1,105171,3,4,0,18089,14.99,102590,85.01,120679,100,"2016-04-29"
"08.439.659/0001-50","2021-01-01",2,108257,0,2,0,0,0,0,0,0,0,"2021-04-12"
"08.467.115/0001-00","2021-01-01",7,110792,376,210,0,3170333,4.656029,162927,99.34,3333260,4.883545,"2021-04-30"
"08.493.364/0001-62","2021-03-31",1,97988,0,5,0,1258415911,100,0,0,1258415911,100,"2020-09-30"
"08.493.364/0001-62","2021-04-01",1,106525,0,5,0,1258415911,100,0,0,1258415911,100,"2020-09-30"
"08.534.605/0001-74","2021-01-01",4,108713,5266,42,6387,13333111,24.0142,24338347,45.1059,37671458,34.4094,"2021-05-31"
"08.560.444/0001-93","2021-01-01",5,110102,376,93,0,77829,0.1,0,0,77829,0.1,"2020-04-03"
"08.574.411/0001-00","2021-01-01",1,105288,0,2,0,0,0,373242,100,373242,10.011123,"2021-04-30"
"08.613.550/0001-98","2021-01-01",7,108800,2,0,8,77941395,99.248,0,0,77941395,99.248,"2021-04-30"
